NRRL_28271_metscf_3	KJ535862	196	80.612	154571	154763	6932	79	5.39e-32	Dalcantha cf. alata SY-2015
NRRL_28271_metscf_920	AM943655	439	83.371	3261	3690	2863	211	9.16e-107	Zygosaccharomyces rouxii
NRRL_28271_metscf_920	AM943655	152	92.763	3949	4100	2178	119	1.27e-55	Zygosaccharomyces rouxii
NRRL_28271_metscf_920	AB243296	1836	90.795	4289	6085	1825	1304	0.0	Schizosaccharomyces japonicus
NRRL_28271_metscf_920	AB243296	1365	89.304	1567	2921	4417	920	0.0	Schizosaccharomyces japonicus
NRRL_28271_metscf_920	AB243296	1316	89.210	166	1467	5850	876	0.0	Schizosaccharomyces japonicus
NRRL_28271_metscf_920	AB243296	447	82.774	3245	3681	2878	209	1.18e-105	Schizosaccharomyces japonicus
NRRL_28271_metscf_920	AB243296	156	92.949	3944	4097	2168	121	9.83e-57	Schizosaccharomyces japonicus
NRRL_28271_metscf_930	AF061799	106	96.226	5206	5311	4020	94	9.56e-42	Hydrolagus colliei
NRRL_28271_metscf_930	KU356790	106	96.226	5206	5311	6165	94	9.56e-42	Centropyge nox
NRRL_28271_metscf_930	KU356791	106	96.226	5206	5311	6193	94	9.56e-42	Genicanthus lamarck
NRRL_28271_metscf_930	KU240018	106	96.226	5206	5311	6231	94	9.56e-42	Apolemichthys arcuatus
NRRL_28271_metscf_930	KU244240	106	96.226	5206	5311	6294	94	9.56e-42	Pygoplites diacanthus
NRRL_28271_metscf_930	KU356781	106	96.226	5206	5311	6299	94	9.56e-42	Centropyge venusta
NRRL_28271_metscf_930	KU244244	106	96.226	5206	5311	6307	94	9.56e-42	Chaetodontoplus mesoleucus
NRRL_28271_metscf_930	KU363797	106	96.226	5206	5311	6310	94	9.56e-42	Centropyge flavissima
NRRL_28271_metscf_930	KU244251	106	96.226	5206	5311	6312	94	9.56e-42	Centropyge woodheadi
NRRL_28271_metscf_930	KU244245	106	96.226	5206	5311	6318	94	9.56e-42	Apolemichthys armitagei
NRRL_28271_metscf_952	AY372365	130	97.692	4087	4216	1146	121	8.91e-57	Rhinosporidium sp. ex Canis familiaris
NRRL_28271_metscf_952	AF399715	130	97.692	4087	4216	1153	121	8.91e-57	Rhinosporidium cygnus
NRRL_28271_metscf_952	AB243296	130	97.692	4087	4216	1187	121	8.91e-57	Schizosaccharomyces japonicus
NRRL_28271_metscf_952	KY670632	130	97.692	4087	4216	1179	121	8.91e-57	Leucettidae sp. Sp11
NRRL_28271_metscf_952	DQ403201	130	96.923	4087	4216	137	118	4.14e-55	Achlya bisexualis
NRRL_28271_metscf_952	MN419333	130	96.923	4087	4216	1157	118	4.14e-55	N/A
NRRL_28271_metscf_952	FJ794908	130	96.923	4087	4216	1101	118	4.14e-55	Saprolegnia sp. SAP2
NRRL_28271_metscf_952	FJ794903	130	96.923	4087	4216	1099	118	4.14e-55	Saprolegnia sp. SAP1
NRRL_28271_metscf_952	FJ794897	130	96.923	4087	4216	1098	118	4.14e-55	Aphanomyces sp. APH3
NRRL_28271_metscf_952	FJ794911	130	96.923	4087	4216	1103	118	4.14e-55	Saprolegnia sp. SAP4
NRRL_28271_metscf_1148	AB243296	201	84.080	446	640	5476	101	6.20e-46	Schizosaccharomyces japonicus
NRRL_28271_metscf_1148	MT784100	181	85.083	466	640	5508	97	1.04e-43	Drosera intermedia
NRRL_28271_metscf_1148	MF004311	160	86.875	482	640	5232	96	3.73e-43	Aspergillus keveii
NRRL_28271_metscf_1148	EU167598	160	86.875	482	640	5158	96	3.73e-43	Mycosphaerella stromatosa
NRRL_28271_metscf_1148	EU040243	160	86.875	482	640	3429	96	3.73e-43	Toxicocladosporium irritans
NRRL_28271_metscf_1148	GU214688	160	86.875	482	640	5115	96	3.73e-43	Epicoleosporium ramularioides
NRRL_28271_metscf_1148	KF737866	160	86.875	482	640	5457	96	3.73e-43	Pseudozyma sp. GHG001
NRRL_28271_metscf_1148	GU214669	160	86.875	482	640	5448	96	3.73e-43	Phacellium paspali
NRRL_28271_metscf_1148	GU214695	160	86.875	482	640	5121	96	3.73e-43	Xenoramularia polygonicola
NRRL_28271_metscf_1148	GU214689	160	86.875	482	640	5113	96	3.73e-43	Cercosporella acroptili
NRRL_28271_metscf_1176	MT784100	146	89.726	191	328	5343	97	9.72e-44	Drosera intermedia
NRRL_28271_metscf_1176	MF004311	146	89.726	191	328	5088	97	9.72e-44	Aspergillus keveii
NRRL_28271_metscf_1176	EU167598	146	89.726	191	328	5014	97	9.72e-44	Mycosphaerella stromatosa
NRRL_28271_metscf_1176	EU040243	146	89.726	191	328	3285	97	9.72e-44	Toxicocladosporium irritans
NRRL_28271_metscf_1176	GU214688	146	89.726	191	328	4971	97	9.72e-44	Epicoleosporium ramularioides
NRRL_28271_metscf_1176	KF737866	146	89.726	191	328	5313	97	9.72e-44	Pseudozyma sp. GHG001
NRRL_28271_metscf_1176	GU214669	146	89.726	191	328	5304	97	9.72e-44	Phacellium paspali
NRRL_28271_metscf_1176	GU214695	146	89.726	191	328	4977	97	9.72e-44	Xenoramularia polygonicola
NRRL_28271_metscf_1176	GU214689	146	89.726	191	328	4969	97	9.72e-44	Cercosporella acroptili
NRRL_28271_metscf_1176	GU214693	146	89.726	191	328	4966	97	9.72e-44	Ramularia stellariicola
