NRRL_1555_metscf_50	MH862281	128	96.094	72453	72579	316	112	2.21e-50	Syncephalastrum monosporum var. pluriproliferum
NRRL_1555_metscf_122	FJ422506	1197	81.955	2540	3726	3185	521	0.0	Eremothecium sinecaudum
NRRL_1555_metscf_122	FJ422506	1094	81.261	102	1179	741	452	0.0	Eremothecium sinecaudum
NRRL_1555_metscf_122	FJ422506	431	80.046	1739	2160	2396	161	4.49e-79	Eremothecium sinecaudum
NRRL_1555_metscf_122	AY198400	1065	90.235	3812	4865	4588	741	0.0	Nakaseomyces delphensis
NRRL_1555_metscf_122	AY198400	917	83.751	2540	3451	3289	460	0.0	Nakaseomyces delphensis
NRRL_1555_metscf_122	AY198400	1095	80.639	102	1179	744	431	0.0	Nakaseomyces delphensis
NRRL_1555_metscf_122	AY198400	430	79.070	1739	2160	2487	149	2.10e-72	Nakaseomyces delphensis
NRRL_1555_metscf_122	AY198400	130	93.846	3595	3724	4312	106	1.68e-48	Nakaseomyces delphensis
NRRL_1555_metscf_122	AM943655	1064	90.226	3812	4864	4550	740	0.0	Zygosaccharomyces rouxii
NRRL_1555_metscf_122	AM943655	917	83.642	2542	3451	3253	458	0.0	Zygosaccharomyces rouxii
NRRL_1555_metscf_122	AM943655	1097	81.313	102	1179	745	453	0.0	Zygosaccharomyces rouxii
NRRL_1555_metscf_122	AM943655	429	78.555	1739	2160	2446	144	1.27e-69	Zygosaccharomyces rouxii
NRRL_1555_metscf_122	AM943655	130	93.077	3595	3724	4279	103	7.84e-47	Zygosaccharomyces rouxii
NRRL_1555_metscf_122	KT336719	1065	89.953	3812	4865	3950	732	0.0	Candida neorugosa
NRRL_1555_metscf_122	KT336719	917	83.642	2540	3451	2704	455	0.0	Candida neorugosa
NRRL_1555_metscf_122	KT336719	1083	79.317	114	1179	661	378	0.0	Candida neorugosa
NRRL_1555_metscf_122	KT336719	123	94.309	3606	3728	3732	102	2.82e-46	Candida neorugosa
NRRL_1555_metscf_122	KT336719	118	88.983	1739	1856	2008	79	1.72e-33	Candida neorugosa
NRRL_1555_metscf_122	KT336722	1057	89.972	3817	4865	3915	729	0.0	Candida sp. NRRL Y-27665
NRRL_1555_metscf_122	KT336722	920	83.587	2540	3451	2667	452	0.0	Candida sp. NRRL Y-27665
NRRL_1555_metscf_122	KT336722	440	86.364	255	687	771	255	2.50e-131	Candida sp. NRRL Y-27665
NRRL_1555_metscf_122	KT336722	403	81.141	779	1179	1277	167	2.07e-82	Candida sp. NRRL Y-27665
NRRL_1555_metscf_122	KT336722	134	92.537	3595	3728	3685	104	2.18e-47	Candida sp. NRRL Y-27665
NRRL_1555_metscf_122	KT336722	162	87.654	2000	2160	2217	101	1.01e-45	Candida sp. NRRL Y-27665
NRRL_1555_metscf_122	KT336720	1060	89.906	3816	4865	4000	728	0.0	Candida ranongensis
NRRL_1555_metscf_122	KT336720	909	83.388	2540	3442	2746	444	0.0	Candida ranongensis
NRRL_1555_metscf_122	KT336720	1099	78.890	102	1184	664	374	0.0	Candida ranongensis
NRRL_1555_metscf_122	KT336720	132	93.182	3595	3726	3766	105	6.06e-48	Candida ranongensis
NRRL_1555_metscf_122	KT336720	171	86.550	1992	2160	2277	100	3.65e-45	Candida ranongensis
NRRL_1555_metscf_122	KT336720	115	88.696	1742	1856	2047	76	8.00e-32	Candida ranongensis
NRRL_1555_metscf_122	MF004311	1055	89.858	3816	4864	4349	726	0.0	Aspergillus keveii
NRRL_1555_metscf_122	MF004311	767	86.571	2541	3299	3076	449	0.0	Aspergillus keveii
NRRL_1555_metscf_122	MF004311	600	83.333	102	686	742	288	1.13e-149	Aspergillus keveii
NRRL_1555_metscf_122	MF004311	436	81.651	747	1179	1375	188	4.39e-94	Aspergillus keveii
NRRL_1555_metscf_122	MF004311	130	93.077	3595	3724	4094	103	7.84e-47	Aspergillus keveii
NRRL_1555_metscf_122	EU167598	1055	89.763	3816	4864	4275	723	0.0	Mycosphaerella stromatosa
NRRL_1555_metscf_122	EU167598	1198	81.636	2540	3728	3008	509	0.0	Mycosphaerella stromatosa
NRRL_1555_metscf_122	EU167598	1103	80.508	102	1186	634	430	0.0	Mycosphaerella stromatosa
NRRL_1555_metscf_122	EU167598	423	78.487	1744	2161	2240	139	7.62e-67	Mycosphaerella stromatosa
NRRL_1555_metscf_357	AY532651	652	84.509	5	640	640	334	8.18e-176	Pneumocystis murina
NRRL_1555_metscf_357	KT736103	631	84.945	16	627	623	332	1.06e-174	Mucor rudolphii
NRRL_1555_metscf_357	MN791087	648	84.414	15	642	636	328	1.77e-172	Diacronema lutheri
NRRL_1555_metscf_357	AB243296	647	83.771	13	643	637	319	1.78e-167	Schizosaccharomyces japonicus
NRRL_1555_metscf_357	KF737866	647	83.308	11	640	632	306	3.00e-160	Pseudozyma sp. GHG001
NRRL_1555_metscf_357	EU041798	631	83.201	13	630	621	301	1.81e-157	Zasmidium cerophillum
NRRL_1555_metscf_357	EU143316	645	82.791	11	643	619	293	5.06e-153	Metschnikowia cubensis
NRRL_1555_metscf_357	DQ641238	645	82.791	11	643	619	293	5.06e-153	Metschnikowia continentalis
NRRL_1555_metscf_357	AB118872	639	82.316	13	632	626	284	5.10e-148	Bullera melastomae
NRRL_1555_metscf_357	KT736106	534	83.708	16	532	526	260	1.12e-134	Mucor lilianae
NRRL_1555_metscf_1131	KX752597	176	92.614	52	227	1696	137	3.56e-67	Hapalopilus percoctus
NRRL_1555_metscf_1131	EU825955	176	92.614	52	227	1802	137	3.56e-67	Dictyonema aeruginosulum
NRRL_1555_metscf_1131	JX109844	176	92.614	52	227	1681	137	3.56e-67	Antrodia serialis
NRRL_1555_metscf_1131	KX752606	176	92.614	52	227	1733	137	3.56e-67	Ceriporia sordescens
NRRL_1555_metscf_1131	KJ399955	176	92.614	52	227	1810	137	3.56e-67	Inocybe cf. leiocephala ohenojae02081975
NRRL_1555_metscf_1131	HQ201350	176	92.614	52	227	1753	137	3.56e-67	Inocybe diabolica
NRRL_1555_metscf_1131	MG574394	176	92.614	52	227	1755	137	3.56e-67	N/A
NRRL_1555_metscf_1131	KU519068	176	92.614	52	227	1752	137	3.56e-67	N/A
NRRL_1555_metscf_1131	KX384177	176	92.614	52	227	1790	137	3.56e-67	Inocybe sp. 2 EL-2016
NRRL_1555_metscf_1131	EU167598	174	92.529	54	227	3320	135	4.61e-66	Mycosphaerella stromatosa
NRRL_1555_metscf_1210	KT736103	178	91.573	43	219	269	132	2.06e-64	Mucor rudolphii
NRRL_1555_metscf_1210	KT736106	173	91.329	43	214	172	127	1.24e-61	Mucor lilianae
