AD010_metscf_199	KY249641	154	85.714	3214	3360	888	84	1.60e-35	Aphelidium desmodesmi
AD010_metscf_1372	GU214689	1749	89.594	6375	8107	1734	1187	0.0	Cercosporella acroptili
AD010_metscf_1372	GU214689	418	81.579	5323	5735	2597	178	2.66e-88	Cercosporella acroptili
AD010_metscf_1372	GU214689	154	92.857	6044	6197	2030	121	1.29e-56	Cercosporella acroptili
AD010_metscf_1372	EU167598	2527	88.999	2461	4981	5334	1682	0.0	Mycosphaerella stromatosa
AD010_metscf_1372	EU167598	1703	89.900	6375	8062	1691	1173	0.0	Mycosphaerella stromatosa
AD010_metscf_1372	EU167598	434	80.876	5309	5735	2658	174	4.44e-86	Mycosphaerella stromatosa
AD010_metscf_1372	EU167598	155	90.323	6044	6198	2075	110	1.68e-50	Mycosphaerella stromatosa
AD010_metscf_1372	GU214688	2527	88.801	2461	4981	5291	1667	0.0	Epicoleosporium ramularioides
AD010_metscf_1372	GU214688	1740	89.598	6375	8097	1732	1182	0.0	Epicoleosporium ramularioides
AD010_metscf_1372	GU214688	432	80.787	5309	5735	2617	174	4.44e-86	Epicoleosporium ramularioides
AD010_metscf_1372	GU214688	149	91.946	6044	6192	2029	113	3.61e-52	Epicoleosporium ramularioides
AD010_metscf_1372	GU214695	2526	88.638	2461	4981	5297	1656	0.0	Xenoramularia polygonicola
AD010_metscf_1372	GU214695	1750	89.486	6375	8110	1737	1184	0.0	Xenoramularia polygonicola
AD010_metscf_1372	GU214695	420	80.000	5309	5723	2620	159	9.69e-78	Xenoramularia polygonicola
AD010_metscf_1372	GU214695	154	92.208	6053	6206	2017	117	2.16e-54	Xenoramularia polygonicola
AD010_metscf_1372	EU019250	2504	88.858	2461	4956	3669	1656	0.0	Stenella araguata
AD010_metscf_1372	EU019250	418	80.861	5323	5735	976	169	2.67e-83	Stenella araguata
AD010_metscf_1372	EU019250	155	91.613	6044	6198	391	116	7.76e-54	Stenella araguata
AD010_metscf_1372	MF004311	2521	88.655	2461	4969	5408	1652	0.0	Aspergillus keveii
AD010_metscf_1372	MF004311	1813	87.534	6375	8172	1798	1120	0.0	Aspergillus keveii
AD010_metscf_1372	MF004311	429	80.420	5309	5735	2717	174	4.44e-86	Aspergillus keveii
AD010_metscf_1372	MF004311	147	89.796	6049	6195	2099	102	4.70e-46	Aspergillus keveii
AD010_metscf_1372	JQ612155	2556	87.363	2460	4982	5423	1562	0.0	Candida tunisiensis
AD010_metscf_1372	JQ612155	1806	89.313	6375	8169	1797	1216	0.0	Candida tunisiensis
AD010_metscf_1372	JQ612155	431	82.367	5323	5743	2705	193	1.22e-96	Candida tunisiensis
AD010_metscf_1372	JQ612155	157	88.535	6039	6195	2102	103	1.31e-46	Candida tunisiensis
AD010_metscf_1372	AB243296	1831	90.934	6375	8172	1825	1313	0.0	Schizosaccharomyces japonicus
AD010_metscf_1372	AB243296	1365	89.084	3627	4981	4417	911	0.0	Schizosaccharomyces japonicus
AD010_metscf_1372	AB243296	1314	89.954	2224	3527	5850	907	0.0	Schizosaccharomyces japonicus
AD010_metscf_1372	AB243296	447	83.221	5307	5743	2878	215	7.18e-109	Schizosaccharomyces japonicus
AD010_metscf_1372	AB243296	159	91.195	6039	6195	2168	115	2.79e-53	Schizosaccharomyces japonicus
AD010_metscf_1611	KY753851	105	91.429	1591	1695	6155	78	8.43e-33	Lepidonotus sp. YZ-2018
AD010_metscf_1611	KM207670	105	90.476	1591	1695	5243	75	3.92e-31	Panax ginseng
AD010_metscf_1611	MK408800	105	90.476	1591	1695	5246	75	3.92e-31	Panax japonicus var. bipinnatifidus
AD010_metscf_1626	AB243296	203	90.640	6501	6703	5475	145	4.74e-70	Schizosaccharomyces japonicus
AD010_metscf_1626	EU276014	203	90.640	6501	6703	5756	145	4.74e-70	Aurelia sp. Incheon-2006
AD010_metscf_1626	KY212123	203	90.640	6501	6703	5633	145	4.74e-70	Chrysaora pacifica
AD010_metscf_1626	JQ612155	204	90.196	6500	6703	5286	143	6.13e-69	Candida tunisiensis
AD010_metscf_1626	AF158724	203	90.148	6501	6703	3997	142	2.21e-68	Styela plicata
AD010_metscf_1626	KY753844	202	90.099	6502	6703	5985	141	7.93e-68	Pisione sp. YZ-2018
AD010_metscf_1626	AY198400	204	89.706	6500	6703	5517	140	2.85e-67	Nakaseomyces delphensis
AD010_metscf_1626	KT336720	204	89.706	6500	6703	4924	140	2.85e-67	Candida ranongensis
AD010_metscf_1626	FJ422506	204	89.706	6500	6703	5401	140	2.85e-67	Eremothecium sinecaudum
AD010_metscf_1626	KT276332	204	89.706	6500	6703	5126	140	2.85e-67	Spathaspora sp. UFMG-CM-Y306
AD010_metscf_1694	HQ651783	222	83.333	6253	6473	1194	108	1.65e-49	Phorticium clevei
AD010_metscf_1694	KM886379	222	82.432	6253	6473	1228	102	3.58e-46	Gambierdiscus sp. DQ-2015
AD010_metscf_1748	KF651068	90	95.556	6618	6707	5200	78	7.55e-33	Colponema edaphicum
AD010_metscf_1748	KF651078	90	95.556	6618	6707	5247	78	7.55e-33	Acavomonas peruviana
AD010_metscf_1748	AF223066	90	95.556	6618	6707	5181	78	7.55e-33	Humulus lupulus
AD010_metscf_1748	AY342318	90	95.556	6618	6707	6358	78	7.55e-33	Marchantia polymorpha
AD010_metscf_1748	JF489233	90	95.556	6618	6707	5223	78	7.55e-33	Secale cereale
AD010_metscf_1748	JN665086	90	95.556	6618	6707	5290	78	7.55e-33	Asclepias cutleri
AD010_metscf_1748	JN665088	90	95.556	6618	6707	5271	78	7.55e-33	Asclepias macrotis
AD010_metscf_1748	JQ228377	90	95.556	6618	6707	5235	78	7.55e-33	Theobroma cacao
AD010_metscf_1748	JQ228378	90	95.556	6618	6707	5235	78	7.55e-33	Theobroma grandiflorum
AD010_metscf_1748	JQ736823	90	95.556	6618	6707	5407	78	7.55e-33	Funaria hygrometrica
AD010_metscf_1881	MT784100	165	89.091	133	297	5327	111	3.02e-51	Drosera intermedia
AD010_metscf_1881	MF004311	165	89.091	133	297	5072	111	3.02e-51	Aspergillus keveii
AD010_metscf_1881	EU167598	165	89.091	133	297	4998	111	3.02e-51	Mycosphaerella stromatosa
AD010_metscf_1881	EU040243	165	89.091	133	297	3269	111	3.02e-51	Toxicocladosporium irritans
AD010_metscf_1881	GU214688	165	89.091	133	297	4955	111	3.02e-51	Epicoleosporium ramularioides
AD010_metscf_1881	KF737866	165	89.091	133	297	5297	111	3.02e-51	Pseudozyma sp. GHG001
AD010_metscf_1881	GU214669	165	89.091	133	297	5288	111	3.02e-51	Phacellium paspali
AD010_metscf_1881	GU214695	165	89.091	133	297	4961	111	3.02e-51	Xenoramularia polygonicola
AD010_metscf_1881	GU214689	165	89.091	133	297	4953	111	3.02e-51	Cercosporella acroptili
AD010_metscf_1881	GU214693	165	89.091	133	297	4950	111	3.02e-51	Ramularia stellariicola
AD010_metscf_1965	MT784100	126	94.444	2777	2902	5329	105	6.06e-48	Drosera intermedia
AD010_metscf_1965	MF004311	126	94.444	2777	2902	5074	105	6.06e-48	Aspergillus keveii
AD010_metscf_1965	EU167598	126	94.444	2777	2902	5000	105	6.06e-48	Mycosphaerella stromatosa
AD010_metscf_1965	EU040243	126	94.444	2777	2902	3271	105	6.06e-48	Toxicocladosporium irritans
AD010_metscf_1965	GU214688	126	94.444	2777	2902	4957	105	6.06e-48	Epicoleosporium ramularioides
AD010_metscf_1965	KF737866	126	94.444	2777	2902	5299	105	6.06e-48	Pseudozyma sp. GHG001
AD010_metscf_1965	GU214669	126	94.444	2777	2902	5290	105	6.06e-48	Phacellium paspali
AD010_metscf_1965	GU214695	126	94.444	2777	2902	4963	105	6.06e-48	Xenoramularia polygonicola
AD010_metscf_1965	GU214689	126	94.444	2777	2902	4955	105	6.06e-48	Cercosporella acroptili
AD010_metscf_1965	GU214693	126	94.444	2777	2902	4952	105	6.06e-48	Ramularia stellariicola
AD010_metscf_2267	MT784100	117	96.581	1141	1257	5330	105	4.66e-48	Drosera intermedia
AD010_metscf_2267	MF004311	117	96.581	1141	1257	5075	105	4.66e-48	Aspergillus keveii
AD010_metscf_2267	EU167598	117	96.581	1141	1257	5001	105	4.66e-48	Mycosphaerella stromatosa
AD010_metscf_2267	EU040243	117	96.581	1141	1257	3272	105	4.66e-48	Toxicocladosporium irritans
AD010_metscf_2267	GU214688	117	96.581	1141	1257	4958	105	4.66e-48	Epicoleosporium ramularioides
AD010_metscf_2267	KF737866	117	96.581	1141	1257	5300	105	4.66e-48	Pseudozyma sp. GHG001
AD010_metscf_2267	GU214669	117	96.581	1141	1257	5291	105	4.66e-48	Phacellium paspali
AD010_metscf_2267	GU214695	117	96.581	1141	1257	4964	105	4.66e-48	Xenoramularia polygonicola
AD010_metscf_2267	GU214689	117	96.581	1141	1257	4956	105	4.66e-48	Cercosporella acroptili
AD010_metscf_2267	GU214693	117	96.581	1141	1257	4953	105	4.66e-48	Ramularia stellariicola
AD010_metscf_2459	MT784100	103	95.146	79	181	5451	88	1.10e-38	Drosera intermedia
AD010_metscf_2459	MF004311	103	95.146	79	181	5196	88	1.10e-38	Aspergillus keveii
AD010_metscf_2459	EU167598	103	95.146	79	181	5122	88	1.10e-38	Mycosphaerella stromatosa
AD010_metscf_2459	EU040243	103	95.146	79	181	3393	88	1.10e-38	Toxicocladosporium irritans
AD010_metscf_2459	GU214688	103	95.146	79	181	5079	88	1.10e-38	Epicoleosporium ramularioides
AD010_metscf_2459	KF737866	103	95.146	79	181	5421	88	1.10e-38	Pseudozyma sp. GHG001
AD010_metscf_2459	GU214669	103	95.146	79	181	5412	88	1.10e-38	Phacellium paspali
AD010_metscf_2459	GU214695	103	95.146	79	181	5085	88	1.10e-38	Xenoramularia polygonicola
AD010_metscf_2459	GU214689	103	95.146	79	181	5077	88	1.10e-38	Cercosporella acroptili
AD010_metscf_2459	GU214693	103	95.146	79	181	5074	88	1.10e-38	Ramularia stellariicola
AD010_metscf_2484	AB243296	582	84.364	1747	2318	5279	299	5.49e-156	Schizosaccharomyces japonicus
AD010_metscf_2484	KT336719	395	90.127	1747	2138	4681	275	1.20e-142	Candida neorugosa
AD010_metscf_2484	KT336720	336	93.750	1747	2082	4727	272	5.61e-141	Candida ranongensis
AD010_metscf_2484	KT336722	336	93.750	1747	2082	4639	272	5.61e-141	Candida sp. NRRL Y-27665
AD010_metscf_2484	AY198400	568	82.923	1747	2299	5320	266	1.21e-137	Nakaseomyces delphensis
AD010_metscf_2484	AM943655	576	82.986	1747	2299	5282	264	1.57e-136	Zygosaccharomyces rouxii
AD010_metscf_2484	KT276332	336	92.857	1747	2082	4929	263	5.65e-136	Spathaspora sp. UFMG-CM-Y306
AD010_metscf_2484	FJ422506	572	82.867	1747	2299	5204	262	2.03e-135	Eremothecium sinecaudum
AD010_metscf_2484	JQ612155	336	92.262	1747	2082	5088	258	3.40e-133	Candida tunisiensis
AD010_metscf_2484	EU143316	327	92.966	1747	2072	4449	257	1.22e-132	Metschnikowia cubensis
AD010_metscf_2853	AB243296	346	86.416	1458	1801	5615	202	3.26e-102	Schizosaccharomyces japonicus
AD010_metscf_2853	EU276014	332	84.940	1471	1801	5884	181	1.54e-90	Aurelia sp. Incheon-2006
AD010_metscf_2853	KY212123	332	84.940	1471	1801	5761	181	1.54e-90	Chrysaora pacifica
AD010_metscf_2853	MT784100	327	85.015	1476	1801	5649	178	7.15e-89	Drosera intermedia
AD010_metscf_2853	AY342318	336	84.226	1467	1801	6686	175	3.33e-87	Marchantia polymorpha
AD010_metscf_2853	HQ718592	312	85.256	1491	1801	5835	173	4.31e-86	Demodex brevis
AD010_metscf_2853	MN585760	338	83.728	1465	1801	3596	171	5.57e-85	N/A
AD010_metscf_2853	KX231331	338	83.728	1465	1801	5602	170	2.00e-84	Cucumis sativus
AD010_metscf_2853	KY670632	336	83.631	1468	1802	5879	170	2.00e-84	Leucettidae sp. Sp11
AD010_metscf_2853	KU095852	336	83.631	1467	1801	5649	169	7.21e-84	Tetraplodon fuegianus
AD010_metscf_3114	MT784100	85	97.647	1	85	5413	79	6.12e-34	Drosera intermedia
AD010_metscf_3114	MF004311	85	97.647	1	85	5158	79	6.12e-34	Aspergillus keveii
AD010_metscf_3114	EU167598	85	97.647	1	85	5084	79	6.12e-34	Mycosphaerella stromatosa
AD010_metscf_3114	EU040243	85	97.647	1	85	3355	79	6.12e-34	Toxicocladosporium irritans
AD010_metscf_3114	GU214688	85	97.647	1	85	5041	79	6.12e-34	Epicoleosporium ramularioides
AD010_metscf_3114	KF737866	85	97.647	1	85	5383	79	6.12e-34	Pseudozyma sp. GHG001
AD010_metscf_3114	GU214669	85	97.647	1	85	5374	79	6.12e-34	Phacellium paspali
AD010_metscf_3114	GU214695	85	97.647	1	85	5047	79	6.12e-34	Xenoramularia polygonicola
AD010_metscf_3114	GU214689	85	97.647	1	85	5039	79	6.12e-34	Cercosporella acroptili
AD010_metscf_3114	GU214693	85	97.647	1	85	5036	79	6.12e-34	Ramularia stellariicola
AD010_metscf_3263	KT336720	208	82.692	5	209	4912	97	5.27e-44	Candida ranongensis
AD010_metscf_3263	KT336722	208	82.692	5	209	4824	97	5.27e-44	Candida sp. NRRL Y-27665
AD010_metscf_3263	KT336719	202	82.673	5	203	4866	94	2.45e-42	Candida neorugosa
AD010_metscf_3263	KT276332	210	80.952	3	209	5112	87	1.91e-38	Spathaspora sp. UFMG-CM-Y306
AD010_metscf_3263	EU143316	145	86.207	1	144	4631	84	8.88e-37	Metschnikowia cubensis
AD010_metscf_3263	KF647736	154	85.065	1	153	4626	83	3.19e-36	Metschnikowia dekortorum
AD010_metscf_3263	DQ641238	145	85.517	1	144	4635	81	4.13e-35	Metschnikowia continentalis
AD010_metscf_3758	JQ612155	95	94.737	1	95	5198	80	9.74e-35	Candida tunisiensis
AD010_metscf_3758	KF647736	95	94.737	1	95	4554	80	9.74e-35	Metschnikowia dekortorum
AD010_metscf_3758	KT336720	95	94.737	1	95	4837	79	3.50e-34	Candida ranongensis
AD010_metscf_3758	FJ422506	95	94.737	1	95	5314	79	3.50e-34	Eremothecium sinecaudum
AD010_metscf_3758	KT276332	95	94.737	1	95	5039	79	3.50e-34	Spathaspora sp. UFMG-CM-Y306
AD010_metscf_3758	KT336722	95	94.737	1	95	4749	79	3.50e-34	Candida sp. NRRL Y-27665
AD010_metscf_3758	EU276014	88	96.591	1	88	5669	79	3.50e-34	Aurelia sp. Incheon-2006
AD010_metscf_3758	KY212123	88	96.591	1	88	5546	79	3.50e-34	Chrysaora pacifica
AD010_metscf_3758	AY198400	91	95.604	1	91	5430	78	1.26e-33	Nakaseomyces delphensis
AD010_metscf_3758	AF061799	87	96.552	1	87	4038	78	1.26e-33	Hydrolagus colliei
AD010_metscf_3939	KT336719	396	90.152	276	668	5072	276	9.03e-144	Candida neorugosa
AD010_metscf_3939	AB243296	561	83.601	118	668	5829	275	3.25e-143	Schizosaccharomyces japonicus
AD010_metscf_3939	KT336720	337	93.769	332	668	5061	273	4.20e-142	Candida ranongensis
AD010_metscf_3939	KT336722	337	93.769	332	668	4973	273	4.20e-142	Candida sp. NRRL Y-27665
AD010_metscf_3939	AY198400	331	93.353	338	668	5648	264	4.23e-137	Nakaseomyces delphensis
AD010_metscf_3939	KT276332	337	92.878	332	668	5263	264	4.23e-137	Spathaspora sp. UFMG-CM-Y306
AD010_metscf_3939	AM943655	332	93.072	338	668	5610	261	1.97e-135	Zygosaccharomyces rouxii
AD010_metscf_3939	JQ612155	337	92.285	332	668	5423	259	2.55e-134	Candida tunisiensis
AD010_metscf_3939	FJ422506	337	92.285	332	668	5538	258	9.16e-134	Eremothecium sinecaudum
AD010_metscf_3939	EU143316	328	92.988	342	668	4774	258	9.16e-134	Metschnikowia cubensis
AD010_metscf_4927	KF651068	301	84.053	49	345	3744	153	7.19e-76	Colponema edaphicum
AD010_metscf_4927	KF651078	287	84.669	60	345	3816	153	7.19e-76	Acavomonas peruviana
AD010_metscf_4927	KT336720	288	83.681	59	343	3313	143	2.60e-70	Candida ranongensis
AD010_metscf_4927	MF004311	297	82.828	49	344	3632	141	3.37e-69	Aspergillus keveii
AD010_metscf_4927	KT336719	288	83.333	59	343	3270	140	1.21e-68	Candida neorugosa
AD010_metscf_4927	KT336722	297	82.828	49	343	3224	140	1.21e-68	Candida sp. NRRL Y-27665
AD010_metscf_4927	JQ434476	237	86.498	109	345	2485	139	4.35e-68	Goniomonas avonlea
AD010_metscf_4927	AY198400	302	82.450	47	343	3844	138	1.57e-67	Nakaseomyces delphensis
AD010_metscf_4927	KT276332	289	83.045	58	343	3495	138	1.57e-67	Spathaspora sp. UFMG-CM-Y306
AD010_metscf_4927	EU276014	273	83.516	53	321	4084	135	7.29e-66	Aurelia sp. Incheon-2006
